id_singular,tipo,subtipo,valor,principal
045,Email,Divulgação,comercial.vendas@uniodontouberlandia.com.br,1
045,Website,Institucional,https://www.uniodontominas.com.br,1
046,Email,Divulgação,claudio@uniodontolondrina.coop.br,1
046,Website,Institucional,https://www.uniodontolondrina.coop.br,1
048,Email,Divulgação,comercial4@uniodontoararaquara.com.br,1
048,Website,Institucional,https://www.uniodontoararaquara.com.br,1
049,Email,Divulgação,uniodontoaraguari@gmail.com,1
049,Website,Institucional,https://uniodontoaraguari.com.br,1
051,Email,Divulgação,uniodonto@uniodontobebedouro.coop.br,1
051,Website,Institucional,https://www.uniodontobebedouro.coop.br,1
052,Email,Divulgação,uniodontopg@uol.com.br,1
052,Website,Institucional,https://www.uniodontopg.com.br,1
054,Email,Divulgação,uniodont@infonet.com.br,1
054,Website,Institucional,https://www.uniodontoaracaju.com.br,1
056,Email,Divulgação,uniodontosulgo@yahoo.com.br,1
056,Website,Institucional,https://www.uniodontosulgo.com.br,1
059,Email,Divulgação,uniodontoamer@uol.com.br,1
059,Website,Institucional,https://www.uniodontoamericana.com.br/,1
061,Email,Divulgação,administrativo@uniodontosf.com.br,1
061,Website,Institucional,https://www.uniodontosf.com.br,1
062,Email,Divulgação,atendimento4@uniodontomt.com.br,1
062,Website,Institucional,https://www.uniodontomt.com.br,1
063,Email,Divulgação,uniodontoptcmg@gmail.com,1
064,Email,Divulgação,comercial.marcela@uniodontomacae.com.br,1
064,Website,Institucional,https://www.uniodontomacae.com.br,1
065,Email,Divulgação,uniodontorc@uniodontorc.com.br,1
065,Website,Institucional,https://www.uniodontorc.com.br,1
066,Email,Divulgação,uniodontosjc@uniodontosjc.com.br,1
066,Website,Institucional,https://www.uniodontosjc.com.br/,1
072,Email,Divulgação,uniodontoavare@gmail.com,1
072,Website,Institucional,https://www.uniodontoavare.com.br,1
074,Email,Divulgação,adm@uniodontofronteiraoeste.com.br,1
074,Website,Institucional,https://www.uniodontofronteiraoeste.com.br,1
075,Email,Divulgação,contato@uniodontoprudente.com.br,1
075,Website,Institucional,https://uniodontoprudente.com.br,1
076,Email,Divulgação,uniodontoathenas.coop.br,1
076,Website,Institucional,https://uniodonto.coop.br,1
078,Email,Divulgação,uniodontoitb@gmail.com,1
078,Website,Institucional,https://uniodontoitabuna.com.br,1
079,Email,Divulgação,uniodonto@uniodontojac.com.br,1
079,Website,Institucional,https://www.uniodontojac.com.br,1
081,Email,Divulgação,gerenciaadm@uniodontobahiasul.com.br,1
081,Website,Institucional,https://www.uniodontobahiasul.com.br,1
083,Email,Divulgação,uniodonto@uniodontocatanduva.com.br,1
083,Website,Institucional,https://uniodontocatanduva.com.br/,1
084,Email,Divulgação,gerencia@uniodontolins.com.br,1
084,Website,Institucional,https://www.uniodontolins.com.br,1
085,Email,Divulgação,uniodonto@uniodontosertaozinho.com.br,1
085,Website,Institucional,https://www.uniodontosertaozinho.com.br,1
088,Website,Institucional,https://www.uniodontocaruaru.com.br,1
089,Email,Divulgação,uniodontopi@hotmail.com,1
090,Email,Divulgação,comercial@uniodontocacapava.com.br,1
090,Website,Institucional,https://uniodontocacapava.com.br,1
093,Email,Divulgação,contato@uniodontodc.com.br,1
093,Website,Institucional,https://www.uniodonto-metropolitana.com.br,1
094,Email,Divulgação,financeiro@uniodontosjrpardo.com.br,1
094,Website,Institucional,https://www.uniodontosjrpardo.com.br,1
098,Email,Divulgação,uniodonto@uniodontomaringa.com.br,1
098,Website,Institucional,https://www.uniodontomaringa.com.br,1
100,Email,Divulgação,vendas@uniodontovotuporanga.com.br,1
100,Website,Institucional,https://uniodontovotuporanga.com.br/,1
101,Email,Divulgação,gerencia@uniodontocop.com.br,1
101,Website,Institucional,https://www.uniodontocop.com.br,1
104,Email,Divulgação,uniodonto@uniodontogaranhuns.coop.br,1
104,Website,Institucional,https://www.uniodontogaranhuns.coop.br/,1
105,Email,Divulgação,uniodontoma@uol.com.br,1
105,Website,Institucional,https://www.uniodontomontealto.com.br,1
112,Email,Divulgação,uniodontoserido@terra.com.br,1
112,Website,Institucional,https://www.uniodontoserido.com.br/site/,1
113,Email,Divulgação,uniodontoatendimento@terra.com.br,1
113,Website,Institucional,https://www.uniodontoaracatuba.com.br,1
114,Email,Divulgação,uniodontonf@hotmail.com,1
114,Website,Institucional,https://www.uniodontorio.com.br,1
118,Email,Divulgação,uniodontororaima118@gmail.com,1
118,Website,Institucional,https://www.uniodontorr.com.br,1
120,Email,Divulgação,uniodonto@uniodontotaquaritinga.com.br,1
120,Website,Institucional,https://uniodontotaquaritinga.com.br,1
121,Email,Divulgação,uniodontofer@terra.com.br,1
121,Website,Institucional,https://uniodontofernandopolis.com.br/,1
122,Email,Divulgação,comercialbtu@uol.com.br,1
122,Website,Institucional,https://www.uniodontobotucatu.com.br,1
127,Email,Divulgação,uniodonto@leopoldina.com.br,1
127,Website,Institucional,https://www.uniodontoleo.com.br/,1
128,Email,Divulgação,uniodonto@uniodontotaubate.com.br,1
128,Website,Institucional,https://www.uniodontotaubate.com.br,1
129,Email,Divulgação,ouvidoria@uniodontopinda.com.br,1
129,Website,Institucional,https://www.uniodontopinda.com.br,1
130,Email,Divulgação,gerencia@uniodontosudoestegoiano.com.br,1
130,Website,Institucional,https://uniodontosudoestegoiano.com.br/,1
132,Email,Divulgação,uniodontojales@terra.com.br,1
132,Website,Institucional,https://www.uniodontojales.com.br,1
134,Email,Divulgação,marketing@uniodontovalehistorico.com.br,1
134,Website,Institucional,https://www.uniodontovalehistorico.com.br,1
138,Email,Divulgação,uniodontop@uniodontoap.com.br,1
138,Website,Institucional,https://www.uniodontoap.combr,1
139,Email,Divulgação,uniodonto.atendimento@live.com,1
139,Website,Institucional,https://www.uniodontomg.com.br/singulares/uniodonto-circuito-das-aguas/,1
144,Email,Divulgação,uniopirass@uniodontopirassununga.com.br,1
144,Website,Institucional,https://uniodontopirassununga.com.br,1
148,Email,Divulgação,atendimento1@uniodontomossoro.com.br,1
148,Website,Institucional,https://www.uniodontomossoro.com.br,1
151,Email,Divulgação,gerencia@uniodontotresrios.com,1
151,Website,Institucional,https://uniodontotresrios.com,1
155,Email,Divulgação,uniodontob@uol.com.br,1
155,Website,Institucional,https://www.uniodontobraganca.com.br,1
156,Email,Divulgação,gerencia@uniodontoes.coop.br,1
156,Website,Institucional,https://www.uniodontoespiritosanto.com.br/,1
157,Email,Divulgação,uniodonto@uniodontoriogrande.com.br,1
157,Website,Institucional,https://www.uniodontoriogrande.com.br,1
160,Email,Divulgação,gerencia@uniodontopassos.com.br,1
160,Website,Institucional,https://www.uniodontopassos.com.br,1
161,Email,Divulgação,orcamento@uniodontocampos.com.br,1
161,Website,Institucional,https://www.uniodontocampos.com.br,1
162,Email,Divulgação,uniodonto@uniodontopauloafonso.com.br,1
162,Website,Institucional,https://uniodontopauloafonso.com.br/,1
164,Email,Divulgação,faturamentouniodonto@terra.com.br,1
164,Website,Institucional,https://www.uniodontosulcatarinense.ddns.com.br,1
166,Email,Divulgação,atendimento@uniodontorondonia.com.br,1
166,Website,Institucional,https://www.uniodontorondonia.com.br,1
167,Email,Divulgação,uniodonto@uniodontoarapiraca.com.br,1
167,Website,Institucional,https://www.uniodontoarapiraca.com.br,1
169,Email,Divulgação,administrativo@uniodontoacre.com.br,1
169,Website,Institucional,https://www.uniodontoacre.com.br/,1
170,Email,Divulgação,uniodonto@uniodontoresende.com.br,1
170,Website,Institucional,https://www.uniodontoresende.com.br,1
174,Email,Divulgação,uniodontosinos@gmail.com,1
174,Email,Divulgação,uniodontosinos@terra.com.br,1
174,Website,Institucional,https://uniodontosinos.com.br,1
174,Website,Institucional,https://www.uniodontosinos.com.br,1
175,Email,Divulgação,uniodontoteresopolis175@gmail.com,1
175,Website,Institucional,https://www.uniodontoteresópolis.com.br,1
176,Email,Divulgação,gerencia@uniodontoni.com.br,1
176,Website,Institucional,https://www.uniodontoni.com.br/,1
182,Email,Divulgação,uniodonto@uniodontopocos.com.br,1
182,Website,Institucional,https://www.uniodontopocos.com.br23701,1
183,Email,Divulgação,uniodontomissoes@hotmail.com,1
183,Website,Institucional,https://www.uniodontomissoes.com,1
190,Email,Divulgação,atendimento@uniodontosc.com.br,1
190,Website,Institucional,https://www.uniodontosc.coop.br,1
191,Email,Divulgação,uniodontolpmg@hotmail.com,1
191,Website,Institucional,https://www.uniodontocentrooesteminas.com,1
192,Email,Divulgação,uniodontocuritiba@uniodonto.com.br,1
192,Website,Institucional,https://www.uniodontocuritiba.coop.br,1
800,Email,Divulgação,uniodontomg@uniodontomg.com.br,1
800,Website,Institucional,https://www.uniodontomg.com.br/,1
801,Email,Divulgação,uniodontors@uniodonto-rs.com.br,1
801,Website,Institucional,https://www.uniodonto-rs.com.br/,1
805,Website,Institucional,https://www.uniodontomanaus.com.br/,1
900,Email,Divulgação,adm@uniodontopaulista.com.br,1
900,Website,Institucional,https://uniodontopaulista.com.br/,1
905,Email,Divulgação,uniodontoferjes@gmail.com,1
906,Email,Divulgação,federacao@uniodontonordeste.com.br,1
906,Website,Institucional,https://www.uniodontonordeste.com.br,1
908,Email,Divulgação,secretaria@uniodontogoiania.com.br,1
909,Email,Divulgação,federacao@uniodontosc.com.br,1
909,Website,Institucional,https://www.uniodontosc.coop.br,1
