CD_MUNICIPIO_7,CD_MUNICIPIO,REGIONAL_SAUDE,NM_CIDADE,UF_MUNICIPIO,NM_REGIAO,CIDADES_HABITANTES,ID_SINGULAR
3100906,310090,Teófilo Otoni,Águas Formosas,MG,Sudeste,19285,045
4200556,420055,Chapecó,Águas Frias,SC,Sul,2341,011
5200258,520025,Entorno Sul,Águas Lindas de Goiás,GO,Centro-Oeste,222850,020
4200606,420060,Grande Florianópolis,Águas Mornas,SC,Sul,6646,011
3101003,310100,Pedra Azul,Águas Vermelhas,MG,Sudeste,13656,045
4300109,430010,CRS 04 Santa Maria,Agudo,RS,Sul,16344,003
3500709,350070,Bauru,Agudos,SP,Sudeste,37582,101
4100301,410030,Metropolitana,Agudos do Sul,PR,Sul,9567,192
3200136,320013,SR Colatina,Águia Branca,ES,Sudeste,9621,156
2500205,250020,VII Núcleo Regional de Saúde,Aguiar,PB,Nordeste,5622,
1700301,170030,Região de Saúde Portal do Bico,Aguiarnópolis,TO,Norte,7049,001
3101102,310110,Governador Valadares,Aimorés,MG,Sudeste,25116,045
2900603,290060,Jequié,Aiquara,BA,Nordeste,4387,
2300408,230040,Tauá,Aiuaba,CE,Nordeste,17584,040
3101201,310120,Varginha,Aiuruoca,MG,Sudeste,5949,045
4300208,430020,CRS 17 Ijuí,Ajuricaba,RS,Sul,6951,801
3101300,310130,Varginha,Alagoa,MG,Sudeste,2657,
2500304,250030,III Núcleo Regional de Saúde,Alagoa Grande,PB,Nordeste,28384,
2500403,250040,III Núcleo Regional de Saúde,Alagoa Nova,PB,Nordeste,20992,
2500502,250050,II Núcleo Regional de Saúde,Alagoinha,PB,Nordeste,14629,
2600609,260060,Caruaru,Alagoinha,PE,Nordeste,14798,
2200251,220025,TD Vale do Rio Guaribas,Alagoinha do Piauí,PI,Nordeste,7678,
2900702,290070,Alagoinhas,Alagoinhas,BA,Nordeste,153023,
3500758,350075,Sorocaba,Alambari,SP,Sudeste,6231,031
3101409,310140,Pouso Alegre,Albertina,MG,Sudeste,3015,045
2100204,210020,Pericumã,Alcântara,MA,Nordeste,22126,029
2300507,230050,Sobral,Alcântaras,CE,Nordeste,11846,040
2500536,250053,III Núcleo Regional de Saúde,Alcantil,PB,Nordeste,5527,
5000252,500025,NCT de Coxim,Alcinópolis,MS,Centro-Oeste,5489,004
2900801,290080,Teixeira de Freitas,Alcobaça,BA,Nordeste,22509,
2100303,210030,Timbiras,Aldeias Altas,MA,Nordeste,26979,029
4300307,430030,CRS 14 Santa Rosa,Alecrim,RS,Sul,5710,014
3200201,320020,SR Cachoeiro do Itapemirim,Alegre,ES,Sudeste,29869,156
4300406,430040,CRS 10 Alegrete,Alegrete,RS,Sul,72493,074
2200277,220027,TD Vale do Rio Guaribas,Alegrete do Piauí,PI,Nordeste,4921,
4300455,430045,CRS 14 Santa Rosa,Alegria,RS,Sul,3287,014
3101508,310150,Leopoldina,Além Paraíba,MG,Sudeste,35438,042
1500404,150040,Baixo Amazonas,Alenquer,PA,Norte,57390,029
2400505,240050,VI ETAM,Alexandria,RN,Nordeste,13529,148
5200308,520030,Pirineus,Alexânia,GO,Centro-Oeste,28360,020
3101607,310160,Alfenas,Alfenas,MG,Sudeste,80973,182
3200300,320030,SR Vitória,Alfredo Chaves,ES,Sudeste,14670,156
3500808,350080,Presidente Prudente,Alfredo Marcondes,SP,Sudeste,4201,075
3101631,310163,Barbacena,Alfredo Vasconcelos,MG,Sudeste,7052,045
4200705,420070,Grande Florianópolis,Alfredo Wagner,SC,Sul,10136,011
2500577,250057,III Núcleo Regional de Saúde,Algodão de Jandaíra,PB,Nordeste,2588,
2500601,250060,I Núcleo Regional de Saúde,Alhandra,PB,Nordeste,19865,
2600708,260070,Goiana,Aliança,PE,Nordeste,38408,
1700350,170035,Região de Saúde Centro-Sul,Aliança do Tocantins,TO,Norte,5303,001
2900900,290090,Itabuna,Almadina,BA,Nordeste,5273,078
1700400,170040,Região de Saúde Sudeste,Almas,TO,Norte,6905,001
1500503,150050,Baixo Amazonas,Almeirim,PA,Norte,34044,029
3101706,310170,Pedra Azul,Almenara,MG,Sudeste,42380,045
2400604,240060,VI ETAM,Almino Afonso,RN,Nordeste,4685,148
4100400,410040,Metropolitana,Almirante Tamandaré,PR,Sul,121420,192
4300471,430047,CRS 06 Passo Fundo,Almirante Tamandaré do Sul,RS,Sul,1935,014
5200506,520050,Sul,Aloândia,GO,Centro-Oeste,1976,
3101805,310180,Governador Valadares,Alpercata,MG,Sudeste,7448,045
4300505,430050,CRS 19 Frederico Westphalen,Alpestre,RS,Sul,5885,801
3101904,310190,Passos,Alpinópolis,MG,Sudeste,20059,160
5100250,510025,Alta Floresta,Alta Floresta,MT,Centro-Oeste,52105,062
1100015,110001,II Delegacia Regional de Saúde,Alta Floresta D'Oeste,RO,Norte,22516,166
3500907,350090,Barretos,Altair,SP,Sudeste,4211,900
1500602,150060,Rodovia Transamazônica,Altamira,PA,Norte,117320,029
2100402,210040,Mearim,Altamira do Maranhão,MA,Nordeste,8250,029
4100459,410045,Campo Mourão,Altamira do Paraná,PR,Sul,1429,
2300606,230060,Crato,Altaneira,CE,Nordeste,7712,040
3102001,310200,Alfenas,Alterosa,MG,Sudeste,14566,045
2600807,260080,Caruaru,Altinho,PE,Nordeste,22996,088
3501004,350100,Ribeirão Preto,Altinópolis,SP,Sudeste,16221,008
1400050,140005,Secretaria Estadual de Saúde,Alto Alegre,RR,Norte,15249,
3501103,350110,Araçatuba,Alto Alegre,SP,Sudeste,4078,084
4300554,430055,CRS 06 Passo Fundo,Alto Alegre,RS,Sul,1590,801
2100436,210043,Cocais,Alto Alegre do Maranhão,MA,Nordeste,28066,029
2100477,210047,Pindaré,Alto Alegre do Pindaré,MA,Nordeste,31967,029
1100379,110037,II Delegacia Regional de Saúde,Alto Alegre dos Parecis,RO,Norte,13268,166
5100300,510030,Rondonópolis,Alto Araguaia,MT,Centro-Oeste,19714,062
4200754,420075,Concórdia,Alto Bela Vista,SC,Sul,1915,011
5100359,510035,São Félix do Araguaia,Alto Boa Vista,MT,Centro-Oeste,7092,062
3102050,310205,Manhumirim,Alto Caparaó,MG,Sudeste,5938,045
2400703,240070,II ETAM,Alto do Rodrigues,RN,Nordeste,14923,148
4300570,430057,CRS 05 Caxias do Sul,Alto Feliz,RS,Sul,3043,174
5100409,510040,Rondonópolis,Alto Garças,MT,Centro-Oeste,12323,062
5200555,520055,Serra da Mesa,Alto Horizonte,GO,Centro-Oeste,6796,
3153509,315350,Manhumirim,Alto Jequitibá,MG,Sudeste,8286,045
2200301,220030,TD Entre Rios,Alto Longá,PI,Nordeste,14371,
5100508,510050,Diamantino,Alto Paraguai,MT,Centro-Oeste,11587,062
1100403,110040,Departamento de Epidemiologia,Alto Paraíso,RO,Norte,22258,166
4128625,412862,Umuarama,Alto Paraíso,PR,Sul,2630,
5200605,520060,Nordeste,Alto Paraíso de Goiás,GO,Centro-Oeste,7751,020
4100608,410060,Paranavaí,Alto Paraná,PR,Sul,14945,098
2100501,210050,Gerais de Balsas,Alto Parnaíba,MA,Nordeste,11233,029
4100707,410070,Umuarama,Alto Piquiri,PR,Sul,9722,
3102100,310210,Barbacena,Alto Rio Doce,MG,Sudeste,10723,045
3200359,320035,SR Colatina,Alto Rio Novo,ES,Sudeste,7911,156
2300705,230070,Limoeiro do Norte,Alto Santo,CE,Nordeste,16077,040
5100607,510060,Rondonópolis,Alto Taquari,MT,Centro-Oeste,11413,062
4100509,410050,Umuarama,Altônia,PR,Sul,22293,
2200400,220040,TD Entre Rios,Altos,PI,Nordeste,40681,
3501152,350115,Sorocaba,Alumínio,SP,Sudeste,18903,900
1300029,130002,Triângulo,Alvarães,AM,Norte,16396,037
3102209,310220,Governador Valadares,Alvarenga,MG,Sudeste,3783,045
3501202,350120,São José do Rio Preto,Álvares Florence,SP,Sudeste,3616,100
3501301,350130,Presidente Prudente,Álvares Machado,SP,Sudeste,25078,075
3501400,350140,Marília,Álvaro de Carvalho,SP,Sudeste,5320,101
3501509,350150,Marília,Alvinlândia,SP,Sudeste,3251,101
3102308,310230,Ponte Nova,Alvinópolis,MG,Sudeste,15135,045
1700707,170070,Região de Saúde Centro-Sul,Alvorada,TO,Norte,8381,001
4300604,430060,CRS 01 Porto Alegre,Alvorada,RS,Sul,212352,006
1100346,110034,I Delegacia Regional de Saúde,Alvorada D'Oeste,RO,Norte,13807,166
3102407,310240,Diamantina,Alvorada de Minas,MG,Sudeste,3605,045
2200459,220045,TD Chapada das Mangabeiras,Alvorada do Gurguéia,PI,Nordeste,5469,
5200803,520080,Entorno Norte,Alvorada do Norte,GO,Centro-Oeste,8749,
4100806,410080,Londrina,Alvorada do Sul,PR,Sul,11598,046
1400027,140002,Secretaria Estadual de Saúde,Amajari,RR,Norte,13561,
5000609,500060,NCT de Ponta Porã,Amambai,MS,Centro-Oeste,40247,018
1600105,160010,II Regional de Saúde,Amapá,AP,Norte,9265,138
2100550,210055,Gurupi,Amapá do Maranhão,MA,Nordeste,7047,029
4100905,410090,Paranavaí,Amaporã,PR,Sul,6405,
2600906,260090,Palmares,Amaraji,PE,Nordeste,22910,
4300638,430063,CRS 03 Pelotas,Amaral Ferrador,RS,Sul,7136,006
5200829,520082,Serra da Mesa,Amaralina,GO,Centro-Oeste,3875,
2200509,220050,TD Entre Rios,Amarante,PI,Nordeste,17609,
2100600,210060,Tocantins,Amarante do Maranhão,MA,Nordeste,42017,029
2901007,290100,Amargosa,Amargosa,BA,Nordeste,37631,
1300060,130006,Alto Solimões,Amaturá,AM,Norte,11934,037
2901106,290110,Feira de Santana,Amélia Rodrigues,BA,Nordeste,24997,
2901155,290115,Irecê,América Dourada,BA,Nordeste,16086,
3501608,350160,Campinas,Americana,SP,Sudeste,244370,059
5200852,520085,Rio Vermelho,Americano do Brasil,GO,Centro-Oeste,6220,020
3501707,350170,Araraquara,Américo Brasiliense,SP,Sudeste,41545,048
3501806,350180,São José do Rio Preto,Américo de Campos,SP,Sudeste,5993,100
4300646,430064,CRS 19 Frederico Westphalen,Ametista do Sul,RS,Sul,7396,801
2300754,230075,Itapipoca,Amontada,CE,Nordeste,44195,040
5200902,520090,Oeste I,Amorinópolis,GO,Centro-Oeste,3011,
2500734,250073,V Núcleo Regional de Saúde,Amparo,PB,Nordeste,2264,
3501905,350190,Campinas,Amparo,SP,Sudeste,73145,008
2800100,280010,Região Propriá,Amparo do São Francisco,SE,Nordeste,2386,
3102506,310250,Ponte Nova,Amparo do Serra,MG,Sudeste,4643,045
4101002,410100,Francisco Beltrão,Ampére,PR,Sul,19466,
2700201,270020,Região 02,Anadia,AL,Nordeste,17507,038
2901205,290120,Vitória da Conquista,Anagé,BA,Nordeste,21229,
4101051,410105,Cascavel,Anahy,PR,Sul,2774,
1500701,150070,Marajó Ocidental,Anajás,PA,Norte,30091,029
2100709,210070,Baixo Itapecuru,Anajatuba,MA,Nordeste,27170,029
3502002,350200,Piracicaba,Analândia,SP,Sudeste,5115,900
1300086,130008,Rio Negro e Solimões,Anamã,AM,Norte,14292,037
1701002,170100,Região de Saúde do Médio Araguaia,Ananás,TO,Norte,9435,001
1500800,150080,Metropolitana,Ananindeua,PA,Norte,540410,029
5201108,520110,Pirineus,Anápolis,GO,Centro-Oeste,396526,020
1500859,150085,Rodovia Transamazônica,Anapu,PA,Norte,29312,029
2100808,210080,Alto Munim,Anapurus,MA,Nordeste,16054,029
5000708,500070,NCT de Aquidauana,Anastácio,MS,Centro-Oeste,25336,004
5000807,500080,NCT de Nova Andradina,Anaurilândia,MS,Centro-Oeste,9116,018
3200409,320040,SR Vitória,Anchieta,ES,Sudeste,30285,156
4200804,420080,São Miguel do Oeste,Anchieta,SC,Sul,5477,011
2901304,290130,Itaberaba,Andaraí,BA,Nordeste,13122,
4101101,410110,Cornélio Procópio,Andirá,PR,Sul,19823,046
2901353,290135,Senhor do Bonfim,Andorinha,BA,Nordeste,14416,162
3102605,310260,Pouso Alegre,Andradas,MG,Sudeste,41704,182
3502101,350210,Araçatuba,Andradina,SP,Sudeste,57245,113
4300661,430066,CRS 06 Passo Fundo,André da Rocha,RS,Sul,1351,014
3102803,310280,Juiz de Fora,Andrelândia,MG,Sudeste,12189,045
3502200,350220,Sorocaba,Angatuba,SP,Sudeste,25724,031
3102852,310285,Teófilo Otoni,Angelândia,MG,Sudeste,8594,045
5000856,500085,NCT de Nova Andradina,Angélica,MS,Centro-Oeste,11081,018
2601003,260100,Garanhuns,Angelim,PE,Nordeste,11301,104
4200903,420090,Grande Florianópolis,Angelina,SC,Sul,4686,011
2901403,290140,Barreiras,Angical,BA,Nordeste,13902,
2200608,220060,TD Entre Rios,Angical do Piauí,PI,Nordeste,6779,
1701051,170105,Região de Saúde do Médio Araguaia,Angico,TO,Norte,3475,001
2400802,240080,II ETAM,Angicos,RN,Nordeste,11695,
3300100,330010,Baía da Ilha Grande,Angra dos Reis,RJ,Sudeste,210171,064
2901502,290150,Feira de Santana,Anguera,BA,Nordeste,11369,030
4101150,410115,Maringá,Ângulo,PR,Sul,2931,
5201207,520120,Estrada de Ferro,Anhanguera,GO,Centro-Oeste,1171,056
3502309,350230,Bauru,Anhembi,SP,Sudeste,6911,122
3502408,350240,Presidente Prudente,Anhumas,SP,Sudeste,4172,075
5201306,520130,Central,Anicuns,GO,Centro-Oeste,22113,020
2200707,220070,TD Serra da Capivara,Anísio de Abreu,PI,Nordeste,9994,
4201000,420100,Lages,Anita Garibaldi,SC,Sul,6783,011
4201109,420110,Grande Florianópolis,Anitápolis,SC,Sul,3223,011
1300102,130010,Rio Negro e Solimões,Anori,AM,Norte,21937,037
4300703,430070,CRS 16 Lajeado,Anta Gorda,RS,Sul,5941,003
2901601,290160,Cícero Dantas,Antas,BA,Nordeste,19659,162
4101200,410120,Paranaguá,Antonina,PR,Sul,18919,192
2300804,230080,Crato,Antonina do Norte,CE,Nordeste,7402,040
2200806,220080,TD Tabuleiros do Alto Parnaíba,Antônio Almeida,PI,Nordeste,3175,
2901700,290170,Feira de Santana,Antônio Cardoso,BA,Nordeste,11670,030
3102902,310290,Barbacena,Antônio Carlos,MG,Sudeste,11471,045
4201208,420120,Grande Florianópolis,Antônio Carlos,SC,Sul,8712,011
3103009,310300,Coronel Fabriciano,Antônio Dias,MG,Sudeste,9233,045
2901809,290180,Senhor do Bonfim,Antônio Gonçalves,BA,Nordeste,11955,162
5000906,500090,NCT de Ponta Porã,Antônio João,MS,Centro-Oeste,9082,018
2400901,240090,VI ETAM,Antônio Martins,RN,Nordeste,7162,
4101309,410130,União da Vitória,Antônio Olinto,PR,Sul,7421,
4300802,430080,CRS 05 Caxias do Sul,Antônio Prado,RS,Sul,13041,801
3103108,310310,Ubá,Antônio Prado de Minas,MG,Sudeste,1577,045
2500775,250077,X Núcleo Regional de Saúde,Aparecida,PB,Nordeste,8482,
3502507,350250,Taubaté,Aparecida,SP,Sudeste,36211,134
3502606,350260,São José do Rio Preto,Aparecida d'Oeste,SP,Sudeste,4122,132
5201405,520140,Centro Sul,Aparecida de Goiânia,GO,Centro-Oeste,601844,020
5201454,520145,Sudoeste I,Aparecida do Rio Doce,GO,Centro-Oeste,2474,130
1701101,170110,Região de Saúde do Capim Dourado,Aparecida do Rio Negro,TO,Norte,4901,001
5001003,500100,NCT de Paranaíba,Aparecida do Taboado,MS,Centro-Oeste,26386,004
3300159,330015,Noroeste,Aperibé,RJ,Sudeste,12036,
3200508,320050,SR Cachoeiro do Itapemirim,Apiacá,ES,Sudeste,7542,156
5100805,510080,Alta Floresta,Apiacás,MT,Centro-Oeste,10431,062
3502705,350270,Sorocaba,Apiaí,SP,Sudeste,24081,031
2100832,210083,Litoral Ocidental,Apicum-Açu,MA,Nordeste,17582,029
4201257,420125,Timbó,Apiúna,SC,Sul,10951,011
2401008,240100,II ETAM,Apodi,RN,Nordeste,35904,148
2901908,290190,Alagoinhas,Aporá,BA,Nordeste,17840,
5201504,520150,Sudoeste II,Aporé,GO,Centro-Oeste,4266,
2901957,290195,Jequié,Apuarema,BA,Nordeste,7274,
4101408,410140,Apucarana,Apucarana,PR,Sul,137438,046
1300144,130014,Amazonas,Apuí,AM,Norte,22739,037
2300903,230090,Caucaia,Apuiarés,CE,Nordeste,14742,040
2800209,280020,Região Propriá,Aquidabã,SE,Nordeste,21796,
5001102,500110,NCT de Aquidauana,Aquidauana,MS,Centro-Oeste,48184,004
2301000,230100,Fortaleza,Aquiraz,CE,Nordeste,81581,040
4201273,420127,Concórdia,Arabutã,SC,Sul,4268,011
2500809,250080,II Núcleo Regional de Saúde,Araçagi,PB,Nordeste,16857,
3103207,310320,Sete Lagoas,Araçaí,MG,Sudeste,2360,045
2800308,280030,Região Aracaju,Aracaju,SE,Nordeste,672614,054
3502754,350275,Sorocaba,Araçariguama,SP,Sudeste,23343,900
2902054,290205,Alagoinhas,Araçás,BA,Nordeste,12237,
2301109,230110,Aracati,Aracati,CE,Nordeste,75392,040
2902005,290200,Brumado,Aracatu,BA,Nordeste,12960,
3502804,350280,Araçatuba,Araçatuba,SP,Sudeste,199210,113
2902104,290210,Serrinha,Araci,BA,Nordeste,54903,
3103306,310330,Juiz de Fora,Aracitaba,MG,Sudeste,2056,045
2301208,230120,Baturité,Aracoiaba,CE,Nordeste,26600,040
2601052,260105,Recife,Araçoiaba,PE,Nordeste,20936,
3502903,350290,Sorocaba,Araçoiaba da Serra,SP,Sudeste,35389,031
3200607,320060,SR Colatina,Aracruz,ES,Sudeste,104942,156
5201603,520160,Central,Araçu,GO,Centro-Oeste,3450,
3103405,310340,Diamantina,Araçuaí,MG,Sudeste,36715,045
5201702,520170,Oeste I,Aragarças,GO,Centro-Oeste,20410,
5201801,520180,Centro Sul,Aragoiânia,GO,Centro-Oeste,10680,
1701309,170130,Região de Saúde Médio Norte,Aragominas,TO,Norte,5705,001
1701903,170190,Região de Saúde do Cantão,Araguacema,TO,Norte,7223,001
1702000,170200,Região de Saúde Centro-Sul,Araguaçu,TO,Norte,8418,001
5101001,510100,Barra do Garças,Araguaiana,MT,Centro-Oeste,3064,062
1702109,170210,Região de Saúde Médio Norte,Araguaína,TO,Norte,186245,001
5101209,510120,Rondonópolis,Araguainha,MT,Centro-Oeste,909,062
1702158,170215,Região de Saúde do Médio Araguaia,Araguanã,TO,Norte,5856,001
2100873,210087,Alto Turi,Araguanã,MA,Nordeste,15675,029
5202155,520215,Rio Vermelho,Araguapaz,GO,Centro-Oeste,7795,
3103504,310350,Uberlândia,Araguari,MG,Sudeste,118361,049
1702208,170220,Região de Saúde Bico do Papagaio,Araguatins,TO,Norte,36573,001
2100907,210090,Delta do Parnaíba,Araioses,MA,Nordeste,47095,029
5001243,500124,NCT de Ponta Porã,Aral Moreira,MS,Centro-Oeste,12511,018
2902203,290220,Alagoinhas,Aramari,BA,Nordeste,11519,
4300851,430085,CRS 02 Porto Alegre,Arambaré,RS,Sul,3544,006
2100956,210095,Serras,Arame,MA,Nordeste,32825,029
3503000,350300,Franca,Aramina,SP,Sudeste,5689,008
3503109,350310,Bauru,Arandu,SP,Sudeste,6373,072
3103603,310360,Juiz de Fora,Arantina,MG,Sudeste,2779,045
3503158,350315,Taubaté,Arapeí,SP,Sudeste,2452,900
2700300,270030,Região 04,Arapiraca,AL,Nordeste,234309,167
1702307,170230,Região de Saúde de Araguaia-Tocantins,Arapoema,TO,Norte,6590,001
3103702,310370,Ponte Nova,Araponga,MG,Sudeste,8467,045
4101507,410150,Apucarana,Arapongas,PR,Sul,126545,046
3103751,310375,Uberlândia,Araporã,MG,Sudeste,6992,045
4101606,410160,Ponta Grossa,Arapoti,PR,Sul,28480,052
3103801,310380,Patos de Minas,Arapuá,MG,Sudeste,2836,045
4101655,410165,Ivaiporã,Arapuã,PR,Sul,2951,
5101258,510125,Cáceres,Araputanga,MT,Centro-Oeste,17078,062
4201307,420130,Joinville,Araquari,SC,Sul,40890,011
2500908,250090,III Núcleo Regional de Saúde,Arara,PB,Nordeste,13613,
4201406,420140,Araranguá,Araranguá,SC,Sul,69493,011
3503208,350320,Araraquara,Araraquara,SP,Sudeste,240542,048
3503307,350330,Piracicaba,Araras,SP,Sudeste,136739,008
2301257,230125,Crateús,Ararendá,CE,Nordeste,10983,040
2101004,210100,Eixos Rodo-Ferroviários,Arari,MA,Nordeste,30014,029
4300877,430087,CRS 01 Porto Alegre,Araricá,RS,Sul,5840,174
2301307,230130,Crato,Araripe,CE,Nordeste,21707,040
2601102,260110,Ouricuri,Araripina,PE,Nordeste,85301,
3300209,330020,Baixada Litorânea,Araruama,RJ,Sudeste,136109,064
2501005,250100,II Núcleo Regional de Saúde,Araruna,PB,Nordeste,20610,
4101705,410170,Campo Mourão,Araruna,PR,Sul,14029,
2902252,290225,Ilhéus,Arataca,BA,Nordeste,10904,078
4300901,430090,CRS 11 Erechim,Aratiba,RS,Sul,6145,005
2301406,230140,Baturité,Aratuba,CE,Nordeste,11759,040
2902302,290230,Santo Antônio de Jesus,Aratuípe,BA,Nordeste,8848,
2800407,280040,Região Estância,Arauá,SE,Nordeste,9840,
4101804,410180,Metropolitana,Araucária,PR,Sul,148522,192
3103900,310390,Divinópolis,Araújos,MG,Sudeste,9523,045
3104007,310400,Uberaba,Araxá,MG,Sudeste,108403,045
3104106,310410,Alfenas,Arceburgo,MG,Sudeste,10990,
3503356,350335,Marília,Arco-Íris,SP,Sudeste,1755,900
3104205,310420,Divinópolis,Arcos,MG,Sudeste,40658,045
2601201,260120,Arcoverde,Arcoverde,PE,Nordeste,75295,104
3104304,310430,Alfenas,Areado,MG,Sudeste,15288,045
3300225,330022,Centro-Sul,Areal,RJ,Sudeste,12763,151
3503406,350340,Bauru,Arealva,SP,Sudeste,8665,101
2501104,250110,III Núcleo Regional de Saúde,Areia,PB,Nordeste,22493,
2401107,240110,II ETAM,Areia Branca,RN,Nordeste,28156,
2800506,280050,Região Itabaiana,Areia Branca,SE,Nordeste,18825,
2501153,250115,VI Núcleo Regional de Saúde,Areia de Baraúnas,PB,Nordeste,2105,
2501203,250120,III Núcleo Regional de Saúde,Areial,PB,Nordeste,7054,
3503505,350350,Taubaté,Areias,SP,Sudeste,3906,134
3503604,350360,Bauru,Areiópolis,SP,Sudeste,11186,122
5101308,510130,Tangará da Serra,Arenápolis,MT,Centro-Oeste,9399,062
5202353,520235,Oeste I,Arenópolis,GO,Centro-Oeste,2462,
2401206,240120,I ETAM,Arês,RN,Nordeste,14526,
3104403,310440,Leopoldina,Argirita,MG,Sudeste,2681,127
3104452,310445,Diamantina,Aricanduva,MG,Sudeste,5305,045
3104502,310450,Unaí,Arinos,MG,Sudeste,17850,045
